OR192348.1	R2
OR192354.1	R2
OR192359.1	R2
OR192374.1	R2
OR192378.1	R2
OR192409.1	R1
OR192417.1	R1
OR192418.1	R1
OR192577.1	R1
OR192588.1	R1
OR192599.1	R1
OR192605.1	R1
OQ807041.1	R2
OR127202.1	R1
LC727725.1	R2
LC727976.1	R2
OQ333049.1	R1
OQ201412.1	R2
OQ201415.1	R2
OQ201421.1	R2
OQ201423.1	R2
OQ201425.1	R2
OQ743746.1	R1
OP886873.1	R1
OP947219.1	R3
OP487302.1	R2
OP487423.1	R2
OP487467.1	R2
OQ440162.1	R1
OQ440174.1	R1
OQ440188.1	R1
OQ440199.1	R1
OQ440214.1	R1
OP082196.1	R1
OP082199.1	R1
OP082200.1	R1
OP082201.1	R1
OP082202.1	R1
OQ133141.1	R2
MT163182.1	R1
MT163204.1	R2
MT163226.1	R2
ON711384.1	R2
OQ082570.1	R2
ON676180.1	R1
ON377047.1	R3
OP971575.1	R1
OP963636.1	R3
ON191596.1	R2
OM362096.1	R1
OL988913.1	R2
OL988961.1	R2
OL988973.1	R2
OL988997.1	R2
OL989009.1	R1
OL989021.1	R2
OP718293.1	R1
OM212039.1	R2
OP680459.1	R2
OK087521.1	R8
OK651078.1	R2
MZ848167.1	R2
MZ848168.1	R2
ON792145.1	R1
ON792155.1	R1
ON792166.1	R1
OK651080.1	R3
ON221571.1	R3
MW720858.1	R3
MW720867.1	R3
MW725571.1	R1
MW924298.1	R2
ON012963.1	R2
ON012974.1	R2
OM201222.1	R1
OM201223.1	R1
OM201224.1	R1
OM201225.1	R1
OM201226.1	R1
OM201227.1	R1
OM201228.1	R1
OM201229.1	R1
OM201230.1	R1
ON992002.1	R1
ON989013.1	R1
MW752838.1	R2
OM416829.1	R3
OM982712.1	R1
OM982735.1	R1
OM982757.1	R1
OM982769.1	R1
OM982789.1	R1
OM982790.1	R1
OM982809.1	R1
OM982810.1	R1
MW575217.1	R1
OL457189.1	R3
ON059839.1	R3
ON059840.1	R3
ON059841.1	R3
ON059858.1	R3
ON059859.1	R3
MW771123.1	R2
MW771132.1	R2
MW771143.1	R2
MZ065919.1	R2
MZ065974.1	R2
MZ066073.1	R2
MZ066172.1	R2
MZ066227.1	R2
OL401528.1	R7
OM643799.1	R2
OM450944.1	R3
OM450955.1	R3
OM450978.1	R3
MT276806.1	R2
OK185344.1	R4
MZ027415.1	R1
MZ094170.1	R2
MZ096217.1	R1
MZ096227.1	R1
